Date published,Recommendation,File name,Page Count,Public URL,Page References,File type,Size (bytes),Audit Report,Website,Server,Server IP,File extension,Duplicate of,Source folder on server,File location (relative to source folder),Full file path on server,Content hash (SHA-256),Delete?,Notes
2023-07-29T16:56:41.000Z,,SA_Crisis_Intervention_7_19_c7667d1f83.docx,,https://infonet.icjia-api.cloud/uploads/SA_Crisis_Intervention_7_19_c7667d1f83.docx,https://infonet.icjia.illinois.gov/tabs/sexual-assault-sa,office-document,20963,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,SA_Crisis_Intervention_7_19_c7667d1f83.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/SA_Crisis_Intervention_7_19_c7667d1f83.docx,028e3b3fa8e60ba64372fc0a5164ec3892d862ebe00618388e440c15c901133d,,
2023-07-29T16:56:41.000Z,,SA_Info_Net_Client_Intake_Data_Entry_Form_July_2020_7f218e614d.docx,,https://infonet.icjia-api.cloud/uploads/SA_Info_Net_Client_Intake_Data_Entry_Form_July_2020_7f218e614d.docx,https://infonet.icjia.illinois.gov/tabs/sexual-assault-sa,office-document,45878,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,SA_Info_Net_Client_Intake_Data_Entry_Form_July_2020_7f218e614d.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/SA_Info_Net_Client_Intake_Data_Entry_Form_July_2020_7f218e614d.docx,231fee9d9fcd44f0bc4373a9c63291d872bce5fa9b94384c1ccdf59d81dd2e25,,
2023-07-29T16:56:41.000Z,,SA_Medical_Advocacy_7_19_921aac69cb.docx,,https://infonet.icjia-api.cloud/uploads/SA_Medical_Advocacy_7_19_921aac69cb.docx,https://infonet.icjia.illinois.gov/tabs/sexual-assault-sa,office-document,29382,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,SA_Medical_Advocacy_7_19_921aac69cb.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/SA_Medical_Advocacy_7_19_921aac69cb.docx,1c68deaf66037aa7b858e5c9cea29ca6332194608c9540655d275dbe356e482f,,
2023-07-29T16:39:09.000Z,,DV_Adult_NON_Residential_7_2020_0d3870bf83.docx,,https://infonet.icjia-api.cloud/uploads/DV_Adult_NON_Residential_7_2020_0d3870bf83.docx,https://infonet.icjia.illinois.gov/tabs/domestic-violence-dv,office-document,47864,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,DV_Adult_NON_Residential_7_2020_0d3870bf83.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/DV_Adult_NON_Residential_7_2020_0d3870bf83.docx,28e5fb16c73bfb5f7a3e7879ecd06d0f41ea08f64850c4e15c70e084869ad439,,
2023-07-29T16:39:09.000Z,,DV_Adult_RESIDENTIAL_7_2020_788548f82a.docx,,https://infonet.icjia-api.cloud/uploads/DV_Adult_RESIDENTIAL_7_2020_788548f82a.docx,https://infonet.icjia.illinois.gov/tabs/domestic-violence-dv,office-document,48395,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,DV_Adult_RESIDENTIAL_7_2020_788548f82a.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/DV_Adult_RESIDENTIAL_7_2020_788548f82a.docx,296cccf5079ee3d54316793929c07c3a5c0d3b4f692eb116af1e1d26eb93fec8,,
2023-07-29T16:39:09.000Z,,DV_Child_NON_Residential_7_2020_23499ed73d.docx,,https://infonet.icjia-api.cloud/uploads/DV_Child_NON_Residential_7_2020_23499ed73d.docx,https://infonet.icjia.illinois.gov/tabs/domestic-violence-dv,office-document,31507,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,DV_Child_NON_Residential_7_2020_23499ed73d.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/DV_Child_NON_Residential_7_2020_23499ed73d.docx,ef49b966e6f62296be36a4081ede5e78c802c1ac20d24e2774f57bf7f814e9c9,,
2023-07-29T16:39:09.000Z,,DV_Child_RESIDENTIAL_7_2020_6ef26e61eb.docx,,https://infonet.icjia-api.cloud/uploads/DV_Child_RESIDENTIAL_7_2020_6ef26e61eb.docx,https://infonet.icjia.illinois.gov/tabs/domestic-violence-dv,office-document,32264,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,DV_Child_RESIDENTIAL_7_2020_6ef26e61eb.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/DV_Child_RESIDENTIAL_7_2020_6ef26e61eb.docx,6c0ed22db2e94ea984a5892f72108191e1a5d69475acbf8ea5be8296697681fa,,
2023-07-29T16:39:09.000Z,,DV_Info_Net_Shelter_Departure_Information_Form_b58ccae120.docx,,https://infonet.icjia-api.cloud/uploads/DV_Info_Net_Shelter_Departure_Information_Form_b58ccae120.docx,https://infonet.icjia.illinois.gov/tabs/domestic-violence-dv,office-document,24593,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,DV_Info_Net_Shelter_Departure_Information_Form_b58ccae120.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/DV_Info_Net_Shelter_Departure_Information_Form_b58ccae120.docx,e188fcc24bdf8f9fde87f7e9a67130de52600b18d676f25d3392c4bb9a3dd04d,,
2023-07-29T16:39:09.000Z,,DV_Infonet_Child_Service_Log_7_19_7f3d6e5922.docx,,https://infonet.icjia-api.cloud/uploads/DV_Infonet_Child_Service_Log_7_19_7f3d6e5922.docx,https://infonet.icjia.illinois.gov/tabs/domestic-violence-dv,office-document,18677,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,DV_Infonet_Child_Service_Log_7_19_7f3d6e5922.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/DV_Infonet_Child_Service_Log_7_19_7f3d6e5922.docx,ea02585ee8db58a89ffed05dbea5afcc96d804608e74a912f10552ad882b5063,,
2023-07-29T16:39:09.000Z,,DV_Infonet_Community_Service_Log_Form_8_15_e45eeef0b2.docx,,https://infonet.icjia-api.cloud/uploads/DV_Infonet_Community_Service_Log_Form_8_15_e45eeef0b2.docx,https://infonet.icjia.illinois.gov/tabs/domestic-violence-dv,office-document,21324,,Infonet,infonet-strapi-prod,192.241.146.85,docx,,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads,DV_Infonet_Community_Service_Log_Form_8_15_e45eeef0b2.docx,/home/forge/infonet.icjia-api.cloud/strapi_v4/public/uploads/DV_Infonet_Community_Service_Log_Form_8_15_e45eeef0b2.docx,c913be0e498c411e17bad86fd5f6c48cee54e6e25911ae1b8df1a35a7dec4604,,
