Publication Date,Center,Recommendation,Title,Type,Page URL,File URL,Web Article URL,File Type,File Size,File Size (bytes),File Status,Has Hosted File
2024-02-09,CJRE,Archive,"Evaluation of the Development of Little Egypt Alternative Pathways (LEAP), a Multijurisdictional Police-Led Deflection Program in Three Southern Illinois Counties",article,https://icjia.illinois.gov/about/publications/evaluation-of-the-development-of-little-egypt-alternative-pathways-leap-a-multijurisdictional-police-led-deflection-program-in-three-southern-illinois-counties/,https://researchhub.icjia-api.cloud/uploads/Evaluation%20of%20the%20Development%20of%20LEAP_A%20Menninger_Final%20Version%201-240209T16062126.pdf,https://icjia.illinois.gov/researchhub/articles/evaluation-of-the-development-of-leap-little-egypt-alternative-pathways-a-multijurisdictional-police-led-deflection-program-in-three-southern-illinois-counties/,PDF,2.2 MB,2317281,200,yes
2023-12-29,Comms,,ICJIA State Fiscal Year 2023 Annual Report,annualReport,https://icjia.illinois.gov/about/publications/icjia-state-fiscal-year-2023-annual-report/,https://agency.icjia-api.cloud/uploads/SFY_23_Annual_Report_Final_7bd1581d53.pdf,,PDF,2.8 MB,2897598,200,yes
2023-11-08,CJRE,Archive,Police Use of Discretion in Encounters with People with Opioid Use Disorder: A Study of Illinois Police Officers,article,https://icjia.illinois.gov/about/publications/police-use-of-discretion-in-encounters-with-people-with-opioid-use-disorder-a-study-of-illinois-police-officers/,https://researchhub.icjia-api.cloud/uploads/Use%20of%20Discretion%20PDF%20for%20POSTING-231128T20591887.pdf,https://icjia.illinois.gov/researchhub/articles/police-use-of-discretion-in-encounters-with-people-with-opioid-use-disorder--a-study-of-illinois-police-officers/,PDF,1.1 MB,1129278,200,yes
2023-10-23,CJRE,Archive,A Study of Housing Options for Probationers with Substance Use Disorders,article,https://icjia.illinois.gov/about/publications/a-study-of-housing-options-for-probationers-with-substance-use-disorders/,https://researchhub.icjia-api.cloud/uploads/housing%20options%20for%20probationers%20FINAL%20PDF-231024T20415515.pdf,https://icjia.illinois.gov/researchhub/articles/a-study-of-housing-options-for-probationers-with-substance-use-disorders/,PDF,772.6 KB,791181,200,yes
2023-10-18,CJRE,Archive,"SEED: A Diversion Program for Young Adults, An Alternative to Incarceration",article,https://icjia.illinois.gov/about/publications/seed-a-diversion-program-for-young-adults-an-alternative-to-incarceration-1/,https://researchhub.icjia-api.cloud/uploads/PDF%20brief-231021T16005363.pdf,https://icjia.illinois.gov/researchhub/articles/seed-a-diversion-program-for-young-adults-an-alternative-to-incarceration/,PDF,8.6 MB,8985691,200,yes
2023-09-22,CJRE,Archive,"Police Knowledge, Attitudes, and Beliefs about Opioid Addiction Treatment and Harm Reduction: A Survey of Illinois Officers",article,https://icjia.illinois.gov/about/publications/police-knowledge-attitudes-and-beliefs-about-opioid-addiction-treatment-and-harm-reduction-a-survey-of-illinois-officers/,https://researchhub.icjia-api.cloud/uploads/FINAL%20PDF%20for%20posting-230915T15353341.pdf,https://icjia.illinois.gov/researchhub/articles/police-knowledge-attitudes-and-beliefs-about-opioid-addiction-treatment-and-harm-reduction-a-survey-of-illinois-officers/,PDF,60 B,60,404,yes
2023-09-13,Task Force,Remediate,Firearm Prohibitors and Records Improvement Task Force 2023 Report,article,https://icjia.illinois.gov/about/publications/firearm-prohibitors-and-records-improvement-task-force-2023-report/,https://researchhub.icjia-api.cloud/uploads/firearmprohibitors2023report-230914T16010774.pdf,https://icjia.illinois.gov/researchhub/articles/firearm-prohibitors-and-records-improvement-task-force-2023-report/,PDF,448.5 KB,459216,200,yes
2023-09-01,CJRE,Archive,"Employment of Individuals After Release from Illinois Prisons: Employee Characteristics, Occupations, and Wages",article,https://icjia.illinois.gov/about/publications/employment-of-individuals-after-release-from-illinois-prisons-employee-characteristics-occupations-and-wages/,https://researchhub.icjia-api.cloud/uploads/IDOC%20employment%20study%20PDF%20for%20posting%209-7-23-230907T14053322.pdf,https://icjia.illinois.gov/researchhub/articles/employment-of-individuals-after-release-from-illinois-prisons--employee-characteristics-occupations-and-wages/,PDF,517.0 KB,529452,200,yes
2023-08-22,Victim Studies,Remediate,2022 Victim Service Planning Research Report,article,https://icjia.illinois.gov/about/publications/2022-victim-service-planning-research-report/,https://researchhub.icjia-api.cloud/uploads/2022%20Victim%20Service%20Planning%20Research%20Report%20-230817T20035755.pdf,https://icjia.illinois.gov/researchhub/articles/2022-victim-service-planning-research-report/,PDF,3.9 MB,4137477,200,yes
2023-08-15,Victim Studies,Archive,Gender Differences in Intimate Partner Violence Service Use,article,https://icjia.illinois.gov/about/publications/gender-differences-in-intimate-partner-violence-service-use/,https://researchhub.icjia-api.cloud/uploads/Gender%20Differences%20in%20Intimate%20Partner%20Violence%20Service%20Use-230817T20061573.pdf,https://icjia.illinois.gov/researchhub/articles/gender-differences-in-intimate-partner-violence-service-use,PDF,1.6 MB,1677497,200,yes
2023-08-01,CJRE,Archive,Differences in Recidivism Outcomes of Illinois Prison Work Release Centers by Participant Characteristics,article,https://icjia.illinois.gov/about/publications/differences-in-recidivism-outcomes-of-illinois-prison-work-release-centers-by-participant-characteristics-1/,https://researchhub.icjia-api.cloud/uploads/ATC%20characteristics%20article-230808T20575668.pdf,https://icjia.illinois.gov/researchhub/articles/differences-in-recidivism-outcomes-of-illinois-prison-work-release-centers-by-participant-characteristics/,PDF,454.8 KB,465666,200,yes
2023-07-20,mandated by law,Remediate,Criminal History Records Check For Federally Assisted Housing Applications: State Fiscal Year 2023 Supplemental Report,article,,https://researchhub.icjia-api.cloud/uploads/Federally%20Assisted%20Housing%20Criminal%20Records%20Check%20Supplemental%20Report%20FOR%20POSTING-230801T19011776.pdf,https://icjia.illinois.gov/researchhub/articles/criminal-history-records-check-for-federally-assisted-housing-applications--state-fiscal-year-2023-annual-report/,PDF,322.8 KB,330502,200,yes
2023-07-17,CJRE,Archive,Lake County Illinois Deflection Program Evaluation Finds Reduced Overdoses and Property Arrests: Research Brief,article,https://icjia.illinois.gov/about/publications/lake-county-illinois-deflection-program-evaluation-finds-reduced-overdoses-and-property-arrests-research-brief/,,https://icjia.illinois.gov/researchhub/articles/lake-county-illinois-deflection-program-evaluation-finds-reduced-overdoses-and-property-arrests/,,,,,no
2023-07-06,Victim Studies,Remediate,2022 Domestic Violence Fatality Review Committee Annual Report,annualReport,https://icjia.illinois.gov/about/publications/2022-domestic-violence-fatality-review-committee-annual-report/,https://agency.icjia-api.cloud/uploads/2022_DVFR_Annual_Report_Final_a688e16b10_a00d65b63f.pdf,,PDF,865.2 KB,885995,200,yes
2023-06-27,mandated by law,Remediate,STATE FISCAL YEAR 2023 ILLINOIS FREEDOM FROM DRONE SURVEILLANCE ACT REPORT,general,https://icjia.illinois.gov/about/publications/state-fiscal-year-2023-illinois-freedom-from-drone-surveillance-act-report/,https://agency.icjia-api.cloud/uploads/FINAL_SFY_23_Drone_Report_ae61faf427.pdf,,PDF,498.6 KB,510577,200,yes
2023-06-27,CJRE,Archive,Police Stigma toward People with Opioid Use Disorder: A Study of Illinois Officers,article,https://icjia.illinois.gov/about/publications/police-stigma-toward-people-with-opioid-use-disorder-a-study-of-illinois-officers/,https://researchhub.icjia-api.cloud/uploads/Stigma%20PDF%20for%20posting-230627T13295515.pdf,https://icjia.illinois.gov/researchhub/articles/police-stigma-toward-people-with-opioid-use-disorder-a-study-of-illinois-officers/,PDF,1.1 MB,1170178,200,yes
2023-06-23,Victim Studies,Archive,2022 Safe From the Start Process Evaluation,article,https://icjia.illinois.gov/about/publications/2022-safe-from-the-start-process-evaluation-1/,https://researchhub.icjia-api.cloud/uploads/2022%20SFS%20Process%20Evaluation%20Report-230622T16355531.pdf,https://icjia.illinois.gov/researchhub/articles/2022-safe-from-the-start-process-evaluation/,PDF,1015.3 KB,1039663,200,yes
2023-06-23,Victim Studies,Archive,2022 Safe From the Start Process Evaluation,article,https://icjia.illinois.gov/about/publications/2022-safe-from-the-start-process-evaluation/,https://researchhub.icjia-api.cloud/uploads/2022%20SFS%20Process%20Evaluation%20Report-230622T16355531.pdf,https://icjia.illinois.gov/researchhub/articles/2022-safe-from-the-start-process-evaluation,PDF,1015.3 KB,1039663,200,yes
2023-06-10,CJRE,Archive,Victim Offender Overlap: Firearm Homicide Victims with and Without Criminal Records,article,https://icjia.illinois.gov/about/publications/victim-offender-overlap-firearm-homicide-victims-with-and-without-criminal-records/,https://researchhub.icjia-api.cloud/uploads/FINAL%20GUN%20HOMICIDE%20PDF-230610T15405729.pdf,https://icjia.illinois.gov/researchhub/articles/victim-offender-overlap-firearm-homicide-victims-with-and-without-criminal-records/,PDF,282.4 KB,289184,200,yes
2023-06-08,Victim Studies,Archive,Illinois Helping Everyone Access Linked Systems: Interim Report,article,https://icjia.illinois.gov/about/publications/illinois-helping-everyone-access-linked-systems-interim-report/,https://researchhub.icjia-api.cloud/uploads/Illinois%20HEALS%20Interim%20Report%202023-230608T16430318.pdf,https://icjia.illinois.gov/researchhub/articles/illinois-helping-everyone-access-linked-systems-interim-report/,PDF,4.3 MB,4500471,200,yes
2023-06-02,CVPIR,Archive,A Survey of Civil Legal Aid Service Providers in Illinois,article,https://icjia.illinois.gov/about/publications/a-survey-of-civil-legal-aid-service-providers-in-illinois/,https://researchhub.icjia-api.cloud/uploads/CLA%20Survey%20Article-230602T17454674.pdf,https://icjia.illinois.gov/researchhub/articles/a-survey-of-civil-legal-aid-service-providers-in-illinois,PDF,1.4 MB,1517552,200,yes
2023-05-11,CJRE,Archive,Balancing Data Privacy with Access to Health Services and Research: Facilitating Confidential Information Sharing in U.S. Multi-System Collaborations,article,https://icjia.illinois.gov/about/publications/balancing-data-privacy-with-access-to-health-services-and-research-facilitating-confidential-information-sharing-in-u-s-multi-system-collaborations/,,https://icjia.illinois.gov/researchhub/articles/balancing-data-privacy-with-access-to-health-services-and-research-facilitating-confidential-information-sharing-in-us-multi-system-collaborations/,,,,,no
2023-05-01,Comms,,FY22 ICJIA Annual Report,annualReport,https://icjia.illinois.gov/about/publications/fy-22-icjia-annual-report/,https://agency.icjia-api.cloud/uploads/FY_22_ICJIA_Annual_Report_7c7ba4f4f0.pdf,,PDF,2.7 MB,2879026,200,yes
2023-04-19,Victim Studies,Archive,2022 Victim Needs Assessment,article,https://icjia.illinois.gov/about/publications/2022-victim-needs-assessment/,https://researchhub.icjia-api.cloud/uploads/2022%20Victim%20Needs%20Assessment-230306T13210736.pdf,https://icjia.illinois.gov/researchhub/articles/2022-victim-needs-assessment/,PDF,4.2 MB,4418155,200,yes
2023-04-10,CJRE,Archive,Evaluation of Youth Mental Health First Aid Training for Illinois Schools,article,https://icjia.illinois.gov/about/publications/evaluation-of-youth-mental-health-first-aid-training-for-illinois-schools/,https://researchhub.icjia-api.cloud/uploads/STOP%20evaluation%20article%20FINAL%20PDF%20for%20posting-230410T17400267.pdf,https://icjia.illinois.gov/researchhub/articles/evaluation-of-youth-mental-health-first-aid-training-for-illinois-schools/,PDF,560.6 KB,574038,200,yes
2023-04-07,CVPIR,Remediate,R3 2022 Annual Report,annualReport,https://icjia.illinois.gov/about/publications/r3-2022-annual-report/,https://agency.icjia-api.cloud/uploads/R3_Report_Final_c3f12abc60.pdf,,PDF,918.7 KB,940702,200,yes
2023-03-28,mandated by law,Remediate,Criminal History Record Checks for Federally Assisted Housing Applications: Annual Report,annualReport,https://icjia.illinois.gov/about/publications/criminal-history-record-checks-for-federally-assisted-housing-applications-annual-report/,https://researchhub.icjia-api.cloud/uploads/Federally%20Assisted%20Housing%20Criminal%20Records%20Check%20Annual%20Report%202023-230328T20561734.pdf,https://icjia.illinois.gov/researchhub/articles/criminal-history-record-checks-for-federally-assisted-housing-applications-annual-report/,PDF,759.4 KB,777655,200,yes
